blank,k,E,EF
,0.6707,-54.0791,
,0.6774,-54.0789,
,0.684,-54.0788,
,0.6907,-54.0787,
,0.6974,-54.0786,
,0.704,-54.0784,
,0.7107,-54.0783,
,0.7174,-54.0781,
,0.724,-54.078,
,0.7307,-54.0778,
,0.7374,-54.0777,
,0.744,-54.0775,
,0.7507,-54.0774,
,0.7574,-54.0772,
,0.764,-54.0771,
,0.7707,-54.0769,
,0.7774,-54.0768,
,0.784,-54.0766,
,0.7907,-54.0764,
,0.7974,-54.0763,
,0.804,-54.0762,
,0.8107,-54.076,
,0.8174,-54.0759,
,0.824,-54.0758,
,0.8307,-54.0757,
,0.8374,-54.0755,
,0.844,-54.0754,
,0.8507,-54.0753,
,0.8574,-54.0752,
,0.864,-54.0752,
,0.8707,-54.0751,
,0.8774,-54.075,
,0.884,-54.075,
,0.8907,-54.0749,
,0.8974,-54.0749,
,0.904,-54.0749,
,0.9107,-54.0749,
,0.924,-54.0749,
,0.9374,-54.075,
,0.9507,-54.0751,
,0.964,-54.0753,
,0.9774,-54.0756,
,0.9907,-54.0759,
,1.004,-54.0763,
,1.0174,-54.0768,
,1.0307,-54.0774,
,1.044,-54.078,
,1.0574,-54.0787,
,1.0707,-54.0795,
,1.084,-54.0803,
,1.0974,-54.0812,
,1.1107,-54.0822,
,1.124,-54.0832,
,1.1374,-54.0843,
,1.1507,-54.0854,
,1.164,-54.0866,
,1.1774,-54.0879,
,1.1907,-54.0892,
,1.204,-54.0905,
,1.2174,-54.0919,
,1.2307,-54.0933,
,1.244,-54.0948,
,1.2574,-54.0962,
,1.2707,-54.0977,
,1.284,-54.0992,
,1.2974,-54.1006,
,1.3107,-54.1021,
,1.324,-54.1035,
,1.3374,-54.105,
,1.3507,-54.1064,
,1.364,-54.1077,
,1.3774,-54.109,
,1.3907,-54.1103,
,1.404,-54.1115,
,1.4174,-54.1126,
,1.4307,-54.1137,
,1.444,-54.1147,
,1.4574,-54.1156,
,1.4707,-54.1165,
,1.484,-54.1172,
,1.4974,-54.1179,
,1.5107,-54.1184,
,1.524,-54.1189,
,1.5374,-54.1193,
,1.5507,-54.1196,
,1.564,-54.1197,
,1.5774,-54.1198,
,,,
,0,-30.9167,
,0.0115,-30.9166,
,0.0231,-30.9162,
,0.0346,-30.9155,
,0.0462,-30.9146,
,0.0577,-30.9135,
,0.0693,-30.9121,
,0.0808,-30.9104,
,0.0924,-30.9086,
,0.1039,-30.9064,
,0.1155,-30.9041,
,0.127,-30.9015,
,0.1386,-30.8987,
,0.1501,-30.8958,
,0.1617,-30.8926,
,0.1732,-30.8893,
,0.1848,-30.8859,
,0.1963,-30.8822,
,0.2078,-30.8785,
,0.2194,-30.8746,
,0.2309,-30.8707,
,0.2425,-30.8667,
,0.254,-30.8626,
,0.2656,-30.8585,
,0.2771,-30.8544,
,0.2887,-30.8503,
,0.3002,-30.8462,
,0.3118,-30.8423,
,0.3233,-30.8384,
,0.3349,-30.8347,
,0.3464,-30.8312,
,0.358,-30.8279,
,0.3695,-30.8248,
,0.3811,-30.8221,
,0.3926,-30.8197,
,0.4041,-30.8177,
,0.4157,-30.8161,
,0.4272,-30.8149,
,0.4388,-30.8141,
,0.4503,-30.8137,
,0.4619,-30.8138,
,0.4734,-30.8145,
,0.485,-30.8158,
,0.4965,-30.8178,
,0.5081,-30.82,
,0.5196,-30.8221,
,0.5312,-30.8241,
,0.5427,-30.8257,
,0.5543,-30.8268,
,0.5658,-30.8275,
,0.5774,-30.8278,
,0.584,-30.8277,
,0.5907,-30.8276,
,0.5974,-30.8274,
,0.604,-30.8271,
,0.6107,-30.8266,
,0.6174,-30.8261,
,0.624,-30.8255,
,0.6307,-30.8249,
,0.6374,-30.8241,
,0.644,-30.8233,
,0.6507,-30.8224,
,0.6574,-30.8214,
,0.664,-30.8203,
,0.6707,-30.8192,
,0.6774,-30.818,
,0.684,-30.8168,
,0.6907,-30.8155,
,0.6974,-30.8141,
,0.704,-30.8127,
,0.7107,-30.8112,
,0.7174,-30.8098,
,0.724,-30.8082,
,0.7307,-30.8066,
,0.7374,-30.805,
,0.744,-30.8034,
,0.7507,-30.8017,
,0.7574,-30.8001,
,0.764,-30.7984,
,0.7707,-30.7967,
,0.7774,-30.7949,
,0.784,-30.7932,
,0.7907,-30.7914,
,0.7974,-30.7896,
,0.804,-30.7879,
,0.8107,-30.7861,
,0.8174,-30.7844,
,0.824,-30.7826,
,0.8307,-30.7809,
,0.8374,-30.7792,
,0.844,-30.7775,
,0.8507,-30.7758,
,0.8574,-30.7741,
,0.864,-30.7725,
,0.8707,-30.771,
,0.8774,-30.7695,
,0.884,-30.7681,
,0.8907,-30.7668,
,0.8974,-30.7658,
,0.904,-30.7651,
,0.9107,-30.7648,
,0.924,-30.7657,
,0.9374,-30.7678,
,0.9507,-30.7703,
,0.964,-30.7728,
,0.9774,-30.7753,
,0.9907,-30.7776,
,1.004,-30.7798,
,1.0174,-30.7817,
,1.0307,-30.7835,
,1.044,-30.785,
,1.0574,-30.7863,
,1.0707,-30.7874,
,1.084,-30.7885,
,1.0974,-30.7897,
,1.1107,-30.7914,
,1.124,-30.7939,
,1.1374,-30.7971,
,1.1507,-30.8008,
,1.164,-30.8048,
,1.1774,-30.809,
,1.1907,-30.8135,
,1.204,-30.818,
,1.2174,-30.8228,
,1.2307,-30.8276,
,1.244,-30.8325,
,1.2574,-30.8375,
,1.2707,-30.8425,
,1.284,-30.8475,
,1.2974,-30.8525,
,1.3107,-30.8575,
,1.324,-30.8624,
,1.3374,-30.8672,
,1.3507,-30.8719,
,1.364,-30.8765,
,1.3774,-30.8809,
,1.3907,-30.8852,
,1.404,-30.8892,
,1.4174,-30.8931,
,1.4307,-30.8967,
,1.444,-30.9,
,1.4574,-30.9031,
,1.4707,-30.9059,
,1.484,-30.9084,
,1.4974,-30.9106,
,1.5107,-30.9124,
,1.524,-30.9139,
,1.5374,-30.9151,
,1.5507,-30.916,
,1.564,-30.9165,
,1.5774,-30.9167,
,,,
,0,-30.7842,
,0.0115,-30.7842,
,0.0231,-30.7842,
,0.0346,-30.7841,
,0.0462,-30.7839,
,0.0577,-30.7838,
,0.0693,-30.7836,
,0.0808,-30.7834,
,0.0924,-30.7831,
,0.1039,-30.7829,
,0.1155,-30.7826,
,0.127,-30.7823,
,0.1386,-30.782,
,0.1501,-30.7817,
,0.1617,-30.7814,
,0.1732,-30.7811,
,0.1848,-30.7809,
,0.1963,-30.7807,
,0.2078,-30.7806,
,0.2194,-30.7804,
,0.2309,-30.7804,
,0.2425,-30.7804,
,0.254,-30.7805,
,0.2656,-30.7806,
,0.2771,-30.7809,
,0.2887,-30.7812,
,0.3002,-30.7816,
,0.3118,-30.7822,
,0.3233,-30.7828,
,0.3349,-30.7836,
,0.3464,-30.7845,
,0.358,-30.7856,
,0.3695,-30.7868,
,0.3811,-30.7882,
,0.3926,-30.7898,
,0.4041,-30.7917,
,0.4157,-30.7938,
,0.4272,-30.7961,
,0.4388,-30.7987,
,0.4503,-30.8013,
,0.4619,-30.804,
,0.4734,-30.8063,
,0.485,-30.8081,
,0.4965,-30.8093,
,0.5081,-30.8101,
,0.5196,-30.8106,
,0.5312,-30.811,
,0.5427,-30.8113,
,0.5543,-30.8115,
,0.5658,-30.8117,
,0.5774,-30.8117,
,0.584,-30.8117,
,0.5907,-30.8115,
,0.5974,-30.8113,
,0.604,-30.811,
,0.6107,-30.8105,
,0.6174,-30.81,
,0.624,-30.8094,
,0.6307,-30.8087,
,0.6374,-30.8079,
,0.644,-30.8069,
,0.6507,-30.8059,
,0.6574,-30.8048,
,0.664,-30.8036,
,0.6707,-30.8022,
,0.6774,-30.8008,
,0.684,-30.7993,
,0.6907,-30.7976,
,0.6974,-30.7959,
,0.704,-30.794,
,0.7107,-30.792,
,0.7174,-30.7899,
,0.724,-30.7877,
,0.7307,-30.7855,
,0.7374,-30.7831,
,0.744,-30.7806,
,0.7507,-30.778,
,0.7574,-30.7753,
,0.764,-30.7725,
,0.7707,-30.7696,
,0.7774,-30.7667,
,0.784,-30.7636,
,0.7907,-30.7605,
,0.7974,-30.7573,
,0.804,-30.7542,
,0.8107,-30.7509,
,0.8174,-30.7479,
,0.824,-30.7454,
,0.8307,-30.7445,
,0.8374,-30.7449,
,0.844,-30.7459,
,0.8507,-30.7469,
,0.8574,-30.7481,
,0.864,-30.7493,
,0.8707,-30.7506,
,0.8774,-30.7518,
,0.884,-30.753,
,0.8907,-30.7541,
,0.8974,-30.755,
,0.904,-30.7556,
,0.9107,-30.7558,
,0.924,-30.755,
,0.9374,-30.7532,
,0.9507,-30.7512,
,0.964,-30.7493,
,0.9774,-30.7481,
,0.9907,-30.7483,
,1.004,-30.7507,
,1.0174,-30.7546,
,1.0307,-30.7591,
,1.044,-30.7635,
,1.0574,-30.7679,
,1.0707,-30.772,
,1.084,-30.7758,
,1.0974,-30.7791,
,1.1107,-30.7817,
,1.124,-30.7834,
,1.1374,-30.7842,
,1.1507,-30.7844,
,1.164,-30.7843,
,1.1774,-30.784,
,1.1907,-30.7836,
,1.204,-30.7831,
,1.2174,-30.7826,
,1.2307,-30.7821,
,1.244,-30.7816,
,1.2574,-30.7812,
,1.2707,-30.7808,
,1.284,-30.7805,
,1.2974,-30.7803,
,1.3107,-30.7802,
,1.324,-30.7801,
,1.3374,-30.7801,
,1.3507,-30.7802,
,1.364,-30.7804,
,1.3774,-30.7806,
,1.3907,-30.7808,
,1.404,-30.7811,
,1.4174,-30.7814,
,1.4307,-30.7818,
,1.444,-30.7821,
,1.4574,-30.7825,
,1.4707,-30.7828,
,1.484,-30.7831,
,1.4974,-30.7834,
,1.5107,-30.7836,
,1.524,-30.7838,
,1.5374,-30.784,
,1.5507,-30.7841,
,1.564,-30.7842,
,1.5774,-30.7842,
,,,
,0,-30.3973,
,0.0115,-30.3977,
,0.0231,-30.3991,
,0.0346,-30.4014,
,0.0462,-30.4047,
,0.0577,-30.4088,
,0.0693,-30.4139,
,0.0808,-30.4198,
,0.0924,-30.4264,
,0.1039,-30.4337,
,0.1155,-30.4416,
,0.127,-30.4501,
,0.1386,-30.459,
,0.1501,-30.4685,
,0.1617,-30.4783,
,0.1732,-30.4886,
,0.1848,-30.4992,
,0.1963,-30.5101,
,0.2078,-30.5213,
,0.2194,-30.5327,
,0.2309,-30.5442,
,0.2425,-30.5559,
,0.254,-30.5676,
,0.2656,-30.5794,
,0.2771,-30.5912,
,0.2887,-30.6028,
,0.3002,-30.6144,
,0.3118,-30.6257,
,0.3233,-30.6367,
,0.3349,-30.6475,
,0.3464,-30.6578,
,0.358,-30.6676,
,0.3695,-30.6768,
,0.3811,-30.6854,
,0.3926,-30.6933,
,0.4041,-30.7003,
,0.4157,-30.7065,
,0.4272,-30.7119,
,0.4388,-30.7165,
,0.4503,-30.7208,
,0.4619,-30.7253,
,0.4734,-30.7304,
,0.485,-30.7355,
,0.4965,-30.7404,
,0.5081,-30.7448,
,0.5196,-30.7485,
,0.5312,-30.7516,
,0.5427,-30.7541,
,0.5543,-30.7558,
,0.5658,-30.7569,
,0.5774,-30.7573,
,0.584,-30.7572,
,0.5907,-30.7571,
,0.5974,-30.7568,
,0.604,-30.7565,
,0.6107,-30.7561,
,0.6174,-30.7555,
,0.624,-30.7549,
,0.6307,-30.7542,
,0.6374,-30.7534,
,0.644,-30.7525,
,0.6507,-30.7515,
,0.6574,-30.7504,
,0.664,-30.7492,
,0.6707,-30.748,
,0.6774,-30.7466,
,0.684,-30.7452,
,0.6907,-30.7437,
,0.6974,-30.7421,
,0.704,-30.7404,
,0.7107,-30.7387,
,0.7174,-30.7369,
,0.724,-30.7351,
,0.7307,-30.7334,
,0.7374,-30.732,
,0.744,-30.7317,
,0.7507,-30.732,
,0.7574,-30.7325,
,0.764,-30.7332,
,0.7707,-30.7339,
,0.7774,-30.7346,
,0.784,-30.7354,
,0.7907,-30.7363,
,0.7974,-30.7371,
,0.804,-30.738,
,0.8107,-30.7389,
,0.8174,-30.7395,
,0.824,-30.7396,
,0.8307,-30.7381,
,0.8374,-30.7352,
,0.844,-30.7318,
,0.8507,-30.7283,
,0.8574,-30.7247,
,0.864,-30.721,
,0.8707,-30.7174,
,0.8774,-30.7138,
,0.884,-30.7103,
,0.8907,-30.7071,
,0.8974,-30.7044,
,0.904,-30.7024,
,0.9107,-30.7017,
,0.924,-30.7043,
,0.9374,-30.7102,
,0.9507,-30.7168,
,0.964,-30.7233,
