E,dos,int,EF
-5.36,1.01E-84,4.00E+00,
-5.35,1.01E-84,4.00E+00,
-5.34,1.01E-84,4.00E+00,
-5.33,1.01E-84,4.00E+00,
-5.32,1.01E-84,4.00E+00,
-5.31,1.01E-84,4.00E+00,
-5.3,1.01E-84,4.00E+00,
-5.29,1.01E-84,4.00E+00,
-5.28,1.01E-84,4.00E+00,
-5.27,1.01E-84,4.00E+00,
-5.26,1.01E-84,4.00E+00,
-5.25,1.01E-84,4.00E+00,
-5.24,1.01E-84,4.00E+00,
-5.23,1.01E-84,4.00E+00,
-5.22,1.01E-84,4.00E+00,
-5.21,1.01E-84,4.00E+00,
-5.2,1.01E-84,4.00E+00,
-5.19,1.01E-84,4.00E+00,
-5.18,1.01E-84,4.00E+00,
-5.17,1.01E-84,4.00E+00,
-5.16,1.01E-84,4.00E+00,
-5.15,1.01E-84,4.00E+00,
-5.14,1.01E-84,4.00E+00,
-5.13,1.01E-84,4.00E+00,
-5.12,1.01E-84,4.00E+00,
-5.11,1.01E-84,4.00E+00,
-5.1,1.01E-84,4.00E+00,
-5.09,1.01E-84,4.00E+00,
-5.08,1.01E-84,4.00E+00,
-5.07,1.01E-84,4.00E+00,
-5.06,1.01E-84,4.00E+00,
-5.05,1.01E-84,4.00E+00,
-5.04,1.01E-84,4.00E+00,
-5.03,1.01E-84,4.00E+00,
-5.02,1.01E-84,4.00E+00,
-5.01,1.01E-84,4.00E+00,
-5,1.01E-84,4.00E+00,
-4.99,1.01E-84,4.00E+00,
-4.98,1.01E-84,4.00E+00,
-4.97,1.01E-84,4.00E+00,
-4.96,1.01E-84,4.00E+00,
-4.95,1.01E-84,4.00E+00,
-4.94,1.01E-84,4.00E+00,
-4.93,1.01E-84,4.00E+00,
-4.92,1.01E-84,4.00E+00,
-4.91,1.01E-84,4.00E+00,
-4.9,1.01E-84,4.00E+00,
-4.89,1.01E-84,4.00E+00,
-4.88,1.01E-84,4.00E+00,
-4.87,1.01E-84,4.00E+00,
-4.86,1.01E-84,4.00E+00,
-4.85,1.01E-84,4.00E+00,
-4.84,1.01E-84,4.00E+00,
-4.83,1.01E-84,4.00E+00,
-4.82,1.01E-84,4.00E+00,
-4.81,1.01E-84,4.00E+00,
-4.8,1.01E-84,4.00E+00,
-4.79,1.01E-84,4.00E+00,
-4.78,1.01E-84,4.00E+00,
-4.77,1.01E-84,4.00E+00,
-4.76,1.01E-84,4.00E+00,
-4.75,1.01E-84,4.00E+00,
-4.74,1.01E-84,4.00E+00,
-4.73,1.01E-84,4.00E+00,
-4.72,1.01E-84,4.00E+00,
-4.71,1.01E-84,4.00E+00,
-4.7,1.01E-84,4.00E+00,
-4.69,1.01E-84,4.00E+00,
-4.68,1.01E-84,4.00E+00,
-4.67,1.01E-84,4.00E+00,
-4.66,1.01E-84,4.00E+00,
-4.65,1.01E-84,4.00E+00,
-4.64,1.01E-84,4.00E+00,
-4.63,1.01E-84,4.00E+00,
-4.62,1.01E-84,4.00E+00,
-4.61,1.01E-84,4.00E+00,
-4.6,1.01E-84,4.00E+00,
-4.59,1.01E-84,4.00E+00,
-4.58,1.01E-84,4.00E+00,
-4.57,1.01E-84,4.00E+00,
-4.56,1.01E-84,4.00E+00,
-4.55,1.01E-84,4.00E+00,
-4.54,1.01E-84,4.00E+00,
-4.53,1.01E-84,4.00E+00,
-4.52,1.01E-84,4.00E+00,
-4.51,1.01E-84,4.00E+00,
-4.5,1.01E-84,4.00E+00,
-4.49,1.01E-84,4.00E+00,
-4.48,1.01E-84,4.00E+00,
-4.47,1.01E-84,4.00E+00,
-4.46,1.01E-84,4.00E+00,
-4.45,1.01E-84,4.00E+00,
-4.44,1.01E-84,4.00E+00,
-4.43,1.01E-84,4.00E+00,
-4.42,1.01E-84,4.00E+00,
-4.41,1.01E-84,4.00E+00,
-4.4,1.01E-84,4.00E+00,
-4.39,1.01E-84,4.00E+00,
-4.38,1.01E-84,4.00E+00,
-4.37,1.01E-84,4.00E+00,
-4.36,1.01E-84,4.00E+00,
-4.35,1.01E-84,4.00E+00,
-4.34,1.01E-84,4.00E+00,
-4.33,1.01E-84,4.00E+00,
-4.32,1.01E-84,4.00E+00,
-4.31,1.01E-84,4.00E+00,
-4.3,1.01E-84,4.00E+00,
-4.29,1.01E-84,4.00E+00,
