k,E,EF
0.9459,-22.0037,
0.9635,-22.0035,
0.981,-22.0034,
0.9985,-22.0032,
1.016,-22.0032,
1.0335,-22.0031,
,,
0,-21.8557,
0.0175,-21.8551,
0.035,-21.8536,
0.0526,-21.8513,
0.0701,-21.8486,
0.0876,-21.8457,
0.1051,-21.8427,
0.1226,-21.8397,
0.1401,-21.8369,
0.1577,-21.8344,
0.1752,-21.8322,
0.1927,-21.8304,
0.2102,-21.8292,
0.2277,-21.8285,
0.2452,-21.8283,
0.2628,-21.8288,
0.2803,-21.8298,
0.2978,-21.8312,
0.3153,-21.8332,
0.3328,-21.8354,
0.3504,-21.838,
0.3679,-21.8408,
0.3854,-21.8438,
0.4029,-21.847,
0.4204,-21.8503,
0.4379,-21.8536,
0.4555,-21.8571,
0.473,-21.8605,
0.4905,-21.864,
0.508,-21.8676,
0.5255,-21.8711,
0.543,-21.8746,
0.5606,-21.878,
0.5781,-21.8815,
0.5956,-21.8849,
0.6131,-21.8883,
0.6306,-21.8916,
0.6481,-21.8949,
0.6657,-21.8981,
0.6832,-21.9013,
0.7007,-21.9043,
0.7182,-21.9073,
0.7357,-21.9103,
0.7533,-21.9131,
0.7708,-21.9158,
0.7883,-21.9184,
0.8058,-21.9209,
0.8233,-21.9233,
0.8408,-21.9256,
0.8584,-21.9277,
0.8759,-21.9297,
0.8934,-21.9315,
0.9109,-21.9331,
0.9284,-21.9345,
0.9459,-21.9358,
0.9635,-21.9368,
0.981,-21.9376,
0.9985,-21.9382,
1.016,-21.9386,
1.0335,-21.9387,
,,
0,-21.7302,
0.0175,-21.7306,
0.035,-21.7315,
0.0526,-21.7329,
0.0701,-21.7348,
0.0876,-21.7369,
0.1051,-21.7391,
0.1226,-21.7413,
0.1401,-21.7434,
0.1577,-21.7452,
0.1752,-21.7468,
0.1927,-21.7479,
0.2102,-21.7486,
0.2277,-21.7486,
0.2452,-21.7482,
0.2628,-21.7471,
0.2803,-21.7455,
0.2978,-21.7434,
0.3153,-21.7409,
0.3328,-21.738,
0.3504,-21.7348,
0.3679,-21.7314,
0.3854,-21.7278,
0.4029,-21.7241,
0.4204,-21.7204,
0.4379,-21.7165,
0.4555,-21.7127,
0.473,-21.7089,
0.4905,-21.7051,
0.508,-21.7014,
0.5255,-21.6977,
0.543,-21.6941,
0.5606,-21.6907,
0.5781,-21.6873,
0.5956,-21.684,
0.6131,-21.6809,
0.6306,-21.6778,
0.6481,-21.6749,
0.6657,-21.6721,
0.6832,-21.6695,
0.7007,-21.6669,
0.7182,-21.6645,
0.7357,-21.6622,
0.7533,-21.66,
0.7708,-21.6579,
0.7883,-21.656,
0.8058,-21.6541,
0.8233,-21.6524,
0.8408,-21.6508,
0.8584,-21.6493,
0.8759,-21.648,
0.8934,-21.6467,
0.9109,-21.6456,
0.9284,-21.6447,
0.9459,-21.6439,
0.9635,-21.6432,
0.981,-21.6427,
0.9985,-21.6423,
1.016,-21.642,
1.0335,-21.642,
,,
0,-21.6802,
0.0175,-21.6798,
0.035,-21.6788,
0.0526,-21.6772,
0.0701,-21.6752,
0.0876,-21.6728,
0.1051,-21.6703,
0.1226,-21.6676,
0.1401,-21.6648,
0.1577,-21.6621,
0.1752,-21.6594,
0.1927,-21.6568,
0.2102,-21.6542,
0.2277,-21.6518,
0.2452,-21.6494,
0.2628,-21.647,
0.2803,-21.6448,
0.2978,-21.6425,
0.3153,-21.6403,
0.3328,-21.638,
0.3504,-21.6357,
0.3679,-21.6334,
0.3854,-21.6311,
0.4029,-21.6287,
0.4204,-21.6262,
0.4379,-21.6237,
0.4555,-21.6211,
0.473,-21.6184,
0.4905,-21.6156,
0.508,-21.6127,
0.5255,-21.6097,
0.543,-21.6067,
0.5606,-21.6035,
0.5781,-21.6003,
0.5956,-21.5971,
0.6131,-21.5938,
0.6306,-21.5906,
0.6481,-21.5873,
0.6657,-21.5841,
0.6832,-21.581,
0.7007,-21.578,
0.7182,-21.5751,
0.7357,-21.5724,
0.7533,-21.5699,
0.7708,-21.5676,
0.7883,-21.5655,
0.8058,-21.5637,
0.8233,-21.5621,
0.8408,-21.5607,
0.8584,-21.5596,
0.8759,-21.5587,
0.8934,-21.5579,
0.9109,-21.5574,
0.9284,-21.5569,
0.9459,-21.5566,
0.9635,-21.5564,
0.981,-21.5562,
0.9985,-21.5561,
1.016,-21.556,
1.0335,-21.556,
,,
0,-21.6154,
0.0175,-21.6153,
0.035,-21.6149,
0.0526,-21.6141,
0.0701,-21.6131,
0.0876,-21.6117,
0.1051,-21.61,
0.1226,-21.608,
0.1401,-21.6057,
0.1577,-21.603,
0.1752,-21.6,
0.1927,-21.5966,
0.2102,-21.5929,
0.2277,-21.589,
0.2452,-21.5847,
0.2628,-21.5802,
0.2803,-21.5754,
0.2978,-21.5705,
0.3153,-21.5654,
0.3328,-21.5601,
0.3504,-21.5547,
0.3679,-21.5491,
0.3854,-21.5435,
0.4029,-21.5378,
0.4204,-21.5321,
0.4379,-21.5264,
0.4555,-21.5206,
0.473,-21.5149,
0.4905,-21.5094,
0.508,-21.5039,
0.5255,-21.4986,
0.543,-21.4936,
0.5606,-21.489,
0.5781,-21.4848,
0.5956,-21.4811,
0.6131,-21.4779,
0.6306,-21.4753,
0.6481,-21.4731,
0.6657,-21.4714,
0.6832,-21.4699,
0.7007,-21.4686,
0.7182,-21.4673,
0.7357,-21.4659,
0.7533,-21.4645,
0.7708,-21.4629,
0.7883,-21.4611,
0.8058,-21.4591,
0.8233,-21.4568,
