Count,Score,Grade
547,68.0,D
548,80.0,B
549,88.0,B
550,82.0,B
551,69.0,D
552,81.0,B
553,58.0,F
554,87.0,B
555,98.0,A
556,84.0,B
557,80.0,B
558,97.0,A
559,75.0,C
560,90.0,A
561,80.0,B
562,65.0,D
563,80.0,B
564,99.0,A
565,78.0,C
566,46.0,F
567,73.0,C
568,81.0,B
569,72.0,C
570,73.0,C
571,76.0,C
572,68.0,D
573,80.0,B
574,83.0,B
575,80.0,B
576,51.0,F
577,86.0,B
578,72.0,C
579,98.0,A
580,51.0,F
581,95.0,A
582,87.0,B
583,59.0,F
584,78.0,C
585,60.0,D
586,97.0,A
587,91.0,A
588,68.0,D
589,66.0,D
590,76.0,C
591,71.0,C
592,49.0,F
593,76.0,C
594,40.0,F
595,63.0,D
596,96.0,A
597,76.0,C
598,81.0,B
599,83.0,B
600,60.0,D
601,86.0,B
602,89.0,B
603,92.5,A
604,51.0,F
605,79.0,C
606,81.0,B
607,96.5,A
608,85.0,B
609,98.0,A
610,53.0,F
611,75.0,C
612,85.0,B
613,43.0,F
614,88.0,B
615,84.0,B
616,80.0,B
617,52.0,F
618,67.0,D
619,80.0,B
620,70.0,C
621,86.0,B
622,49.0,F
623,94.0,A
624,91.0,A
625,68.0,D
626,77.0,C
627,82.0,B
628,60.0,D
629,87.0,B
630,89.0,B
631,57.0,F
632,83.0,B
633,85.5,B
634,87.0,B
635,88.0,B
636,97.0,A
637,79.0,C
638,70.0,C
639,98.0,A
640,77.0,C
641,93.0,A
642,86.0,B
643,70.0,C
644,60.0,D
645,65.0,D
646,85.0,B
647,80.0,B
648,81.0,B
649,88.0,B
650,87.0,B
651,71.0,C
652,100.0,A
653,89.0,B
654,87.0,B
655,57.0,F
656,85.0,B
657,93.0,A
658,100.0,A
659,92.0,A
660,95.0,A
661,83.0,B
662,98.0,A
663,80.0,B
664,99.0,A
665,80.0,B
666,83.0,B
667,66.0,D
668,67.0,D
669,89.0,B
670,43.0,F
671,78.0,C
672,72.0,C
673,73.0,C
674,87.0,B
675,73.0,C
676,56.0,F
677,100.0,A
678,100.0,A
679,86.0,B
680,100.0,A
681,78.0,C
682,81.0,B
683,70.0,C
684,67.0,D
685,90.0,A
686,85.0,B
687,87.0,B
688,78.0,C
689,77.0,C
690,100.0,A
691,91.0,A
692,80.0,B
693,90.0,A
694,59.0,F
695,82.0,B
696,50.0,F
697,86.0,B
698,72.0,C
699,72.0,C
700,81.0,B
701,80.0,B
702,96.0,A
703,50.0,F
704,77.0,C
705,85.0,B
706,69.0,D
707,94.0,A
708,65.0,D
709,72.0,C
710,100.0,A
711,92.0,A
712,95.0,A
713,96.0,A
714,68.0,D
715,88.0,B
716,86.0,B
717,96.0,A
718,99.0,A
719,83.0,B
720,86.0,B
721,83.0,B
722,90.0,A
723,100.0,A
724,100.0,A
725,65.0,D
726,100.0,A
727,83.5,B
728,100.0,A
729,40.5,F
730,100.0,A
731,96.0,A
732,56.5,F
733,81.5,B
734,100.0,A
735,76.0,C
736,86.0,B
737,79.5,C
738,77.5,C
739,81.0,B
740,75.5,C
741,95.0,A
742,100.0,A
743,92.0,A
744,100.0,A
745,92.0,A
746,42.0,F
747,67.0,D
748,93.0,A
749,84.0,B
750,64.0,D
751,98.0,A
752,71.0,C
753,100.0,A
754,66.0,D
755,78.0,C
756,83.0,B
757,54.0,F
758,76.0,C
759,94.0,A
760,91.0,A
761,78.0,C
762,86.0,B
763,87.0,B
764,76.0,C
765,79.5,C
766,84.0,B
767,83.0,B
768,77.0,C
769,67.0,D
770,67.0,D
771,100.0,A
772,73.0,C
773,44.0,F
774,82.0,B
775,93.0,A
776,90.0,A
777,75.0,C
778,96.0,A
779,55.0,F
780,82.0,B
781,71.0,C
782,85.0,B
783,75.0,C
784,66.0,D
785,42.0,F
786,64.0,D
787,61.0,D
788,82.0,B
789,71.0,C
790,86.0,B
791,93.0,A
792,86.0,B
793,81.0,B
794,85.0,B
795,79.0,C
796,89.0,B
797,69.0,D
798,99.0,A
799,75.0,C
